Script started on Tue May 23 18:48:17 2017
bash-3.2$ exitclearat g000.csvbash-3.2$ ls[Kscreen /dev/tty.G-Rays1-SPPslave
[?1h=[0m(B[1;24r[H[J[H[J5.700,A,3540.4432,N,13943.1907,E,0.64,242.29,230517,,,A*6F
$GPRMC,095012.000,A,3540.5382,N,13943.0586,E,20.69,320.70,230517,,,A*51
$GPRMC,095012.100,A,3540.5387,N,13943.0582,E,20.55,320.98,230517,,,A*58
$GPRMC,095012.200,A,3540.5392,N,13943.0580,E,20.34,321.70,230517,,,A*5D
$GPRMC,095012.300,A,3540.5396,N,13943.0577,E,20.16,322.03,230517,,,A*57
$GPRMC,095012.400,A,3540.5400,N,13943.0574,E,19.98,322.40,230517,,,A*50
$GPRMC,095012.500,A,3540.5404,N,13943.0571,E,19.76,322.75,230517,,,A*56
$GPRMC,095012.600,A,3540.5408,N,13943.0569,E,19.56,322.99,230517,,,A*50
$GPRMC,095012.700,A,3540.5412,N,13943.0566,E,19.31,323.32,230517,,,A*54
$GPRMC,095012.800,A,3540.5415,N,13943.0564,E,19.08,323.61,230517,,,A*52
$GPRMC,095012.900,A,3540.5419,N,13943.0561,E,18.83,323.96,230517,,,A*50
$GPRMC,095013.000,A,3540.5422,N,13943.0559,E,18.57,324.27,230517,,,A*5F
$GPRMC,095013.100,A,3540.5426,N,13943.0557,E,18.30,324.61,230517,,,A*57
$GPRMC,095013.200,A,3540.5429,N,13943.0556,E,18.01,325.16,230517,,,A*59
$GPRMC,095013.300,A,3540.5432,N,13943.0554,E,17.75,325.58,230517,,,A*56
$GPRMC,095013.400,A,3540.5436,N,13943.0552,E,17.49,325.88,230517,,,A*51
$GPRMC,095013.500,A,3540.5439,N,13943.0551,E,17.20,326.17,230517,,,A*56
$GPRMC,095013.600,A,3540.5442,N,13943.0549,E,16.93,326.48,230517,,,A*53
$GPRMC,095013.700,A,3540.5445,N,13943.0548,E,16.64,326.90,230517,,,A*59
$GPRMC,095013.800,A,3540.5448,N,13943.0547,E,16.36,327.37,230517,,,A*5F
$GPRMC,095013.900,A,3540.5451,N,13943.0546,E,16.07,327.85,230517,,,A*5C
$GPRMC,095014.000,A,3540.5454,N,13943.0545,E,15.78,328.29,230517,,,A*56
$GPRMC,095014.100,A,3540.5457,N,13943.0544,E,15.50,328.93,230517,,,A*5E
$GPRMC,095014.200,A,3540.5460,N,13943.0543,E,15.20,329.44,230517,,,A*52
$GPRMC,095014.300,A,3540.5463,N,13943.0542,E,14.93,329.99,230517,,,A*58
$GPRMC,095014.400,A,3540.5465,N,13943.0542,E,14.64,330.53,230517,,,A*5F
$GPRMC,095014.500,A,3540.5468,N,13943.0541,E,14.38,331.03,230517,,,A*5D
$GPRMC,095014.600,A,3540.5471,N,13943.0540,E,14.11,331.56,230517,,,A*5C
$GPRMC,095014.700,A,3540.5473,N,13943.0539,E,13.85,331.92,230517,,,A*53
$GPRMC,095014.800,A,3540.5476,N,13943.0538,E,13.59,332.23,230517,,,A*50
$GPRMC,095014.900,A,3540.5478,N,13943.0537,E,13.34,332.48,230517,,,A*56
$GPRMC,095015.000,A,3540.5480,N,13943.0536,E,13.06,332.72,230517,,,A*50
$GPRMC,095015.100,A,3540.5482,N,13943.0535,E,12.80,332.95,230517,,,A*56
$GPRMC,095015.200,A,3540.5485,N,13943.0534,E,12.55,333.20,230517,,,A*54
$GPRMC,095015.300,A,3540.5487,N,13943.0534,E,12.29,333.46,230517,,,A*5C
$GPRMC,095015.400,A,3540.5489,N,13943.0533,E,12.05,333.72,230517,,,A*5B
$GPRMC,095015.500,A,3540.5491,N,13943.0532,E,11.83,333.90,230517,,,A*53
$GPRMC,095015.600,A,3540.5493,N,13943.0531,E,11.61,334.15,230517,,,A*57
$GPRMC,095015.700,A,3540.5495,N,13943.0530,E,11.40,334.43,230517,,,A*51
$GPRMC,095015.800,A,3540.5498,N,13943.0529,E,11.18,334.67,230517,,,A*50
$GPRMC,095015.900,A,3540.5500,N,13943.0529,E,10.99,335.10,230517,,,A*58
$GPRMC,095016.000,A,3540.5502,N,13943.0528,E,10.80,335.33,230517,,,A*58
$GPRMC,095016.100,A,3540.5504,N,13943.0528,E,10.59,335.65,230517,,,A*58
$GPRMC,095016.200,A,3540.5506,N,13943.0527,E,10.38,335.91,230517,,,A*5A
$GPRMC,095016.300,A,3540.5508,N,13943.0526,E,10.16,336.21,230517,,,A*50
$GPRMC,095016.400,A,3540.5511,N,13943.0526,E,9.98,336.54,230517,,,A*63
$GPRMC,095016.500,A,3540.5513,N,13943.0526,E,9.76,336.92,230517,,,A*6A
$GPRMC,095016.600,A,3540.5515,N,13943.0525,E,9.54,337.27,230517,,,A*63
$GPRMC,095016.700,A,3540.5516,N,13943.0525,E,9.33,337.49,230517,,,A*68
$GPRMC,095016.800,A,3540.5518,N,13943.0524,E,9.13,337.64,230517,,,A*65
$GPRMC,095016.900,A,3540.5520,N,13943.0523,E,8.91,337.85,230517,,,A*6C
$GPRMC,095017.000,A,3540.5521,N,13943.0523,E,8.72,338.07,230517,,,A*6D
$GPRMC,095017.100,A,3540.5523,N,13943.0522,E,8.52,338.27,230517,,,A*6F
$GPRMC,095017.200,A,3540.5525,N,13943.0521,E,8.35,338.49,230517,,,A*60
$GPRMC,095017.300,A,3540.5526,N,13943.0521,E,8.17,338.73,230517,,,A*6B
$GPRMC,095017.400,A,3540.5528,N,13943.0521,E,8.01,339.13,230517,,,A*62
$GPRMC,095017.500,A,3540.5530,N,13943.0520,E,7.85,339.34,230517,,,A*6D
$GPRMC,095017.600,A,3540.5531,N,13943.0520,E,7.70,339.54,230517,,,A*63
